family,arm,key,direction,tier,divergence_turn,divergence_kind,position,user_diverged_first,hint_status,adoption,base_funnel_last,arm_funnel_last,labels
strong,nlp_arm2,t6_en_de_018__rep2,lost,6,1,tool_choice,first,False,no_hint,no_hint,booked,slots_presented,degenerate_midconv_hint_followed;closure_lost
strong,nlp_arm2,t6_en_de_042__rep2,lost,6,1,tool_choice,first,False,partial,adopted_day,booked,booking_attempted,degenerate_midconv_hint_followed;never_found_slots
strong,nlp_arm2,t1_en_native_014__rep1,gained,1,1,tool_choice,first,False,partial,adopted_window,queried,booked,
strong,nlp_arm2,t1_en_native_031__rep2,gained,1,1,tool_choice,first,False,exact,ignored,queried,booked,
strong,nlp_arm2,t2_en_native_027__rep1,gained,2,1,tool_choice,first,False,no_hint,no_hint,queried,booked,
strong,nlp_arm2,t3_en_de_075__rep1,gained,3,1,tool_choice,first,False,partial,adopted_window,slots_presented,booked,
strong,nlp_arm2,t3_en_native_000__rep2,gained,3,1,tool_choice,first,False,exact,adopted_window,queried,booked,
strong,nlp_arm2,t4_en_native_044__rep2,gained,4,1,tool_choice,first,False,no_hint,no_hint,booking_attempted,booked,
strong,nlp_arm2,t4_en_native_045__rep1,gained,4,1,tool_choice,first,False,no_hint,no_hint,queried,booked,
strong,nlp_arm2,t5_en_de_046__rep1,gained,5,1,tool_choice,first,False,wrong,ignored,slots_presented,booked,
strong,nlp_arm2,t5_en_de_058__rep1,gained,5,1,tool_choice,first,False,partial,adopted_day,user_accepted,booked,
strong,nlp_arm2,t6_en_native_045__rep1,gained,6,1,tool_choice,first,False,no_hint,no_hint,user_accepted,booked,
strong,nlp_arm2,t6_en_native_045__rep2,gained,6,1,tool_choice,first,False,no_hint,no_hint,slots_presented,booked,
strong,nlp_arm3,t2_en_native_004__rep1,lost,2,1,tool_choice,first,False,exact,adopted_window,booked,user_accepted,degenerate_midconv_hint_followed;never_found_slots;closure_lost
strong,nlp_arm3,t2_en_native_011__rep1,lost,2,1,response_intent,first,False,exact,adopted_window,booked,user_accepted,degenerate_midconv_hint_followed;never_found_slots;closure_lost
strong,nlp_arm3,t3_en_native_035__rep2,lost,3,1,query_window,first,False,partial,adopted_window,booked,queried,degenerate_midconv_hint_followed;never_found_slots
strong,nlp_arm3,t4_en_de_013__rep1,lost,4,1,tool_choice,first,False,wrong,adopted_day,booked,booking_attempted,wrong_hint_adopted;degenerate_midconv_hint_followed;never_found_slots
strong,nlp_arm3,t4_en_de_013__rep2,lost,4,1,tool_choice,first,False,wrong,adopted_day,booked,queried,wrong_hint_adopted;degenerate_midconv_hint_followed;never_found_slots
strong,nlp_arm3,t4_en_it_033__rep1,lost,4,1,tool_choice,first,False,no_hint,no_hint,booked,queried,degenerate_midconv_hint_followed;never_found_slots
strong,nlp_arm3,t4_en_it_033__rep2,lost,4,1,tool_choice,first,False,no_hint,no_hint,booked,booking_attempted,degenerate_midconv_hint_followed;exploration_suppressed
strong,nlp_arm3,t4_en_native_048__rep1,lost,4,3,tool_choice,mid_late,True,no_hint,no_hint,booked,user_accepted,degenerate_midconv_hint_followed;never_found_slots;closure_lost;simulator_path_divergence
strong,nlp_arm3,t5_en_de_037__rep1,lost,5,1,tool_choice,first,False,wrong,adopted_window,booked,booking_attempted,wrong_hint_adopted;never_found_slots;exploration_suppressed
